"rho0" "rho" "a" "b" "i" "CVA" "DVA" "BCVA"
0.4 0.005 0.3 0.02 7 0.00155441179058324 0.157040657187021 -0.155486245396438
0.4 0.005 0.4 0.02 7 0.00134688953859224 0.162088213724833 -0.160741324186241
0.4 0.005 0.5 0.02 7 0.0012018752358074 0.16733512344776 -0.166133248211953
0.4 0.005 0.6 0.02 7 0.00107734061408027 0.172707084450251 -0.17162974383617
0.4 0.005 0.7 0.02 7 0.000963453236961168 0.178165458483619 -0.177202005246657
0.4 0.005 0.8 0.02 7 0.000859383889081049 0.183669614034359 -0.182810230145278
0.4 0.005 0.9 0.02 7 0.00076433274559019 0.189177080490217 -0.188412747744627
0.4 0.005 1 0.02 7 0.000677531177432436 0.19465244757463 -0.193974916397198
0.4 0.005 0.1 0.02 8 0.00224072693404859 0.144900635568248 -0.142659908634199
0.4 0.005 0.2 0.02 8 0.00219146998371172 0.145921618766649 -0.143730148782937
0.4 0.005 0.3 0.02 8 0.00214977480592372 0.146347301669903 -0.14419752686398
0.4 0.005 0.4 0.02 8 0.00211548234519276 0.146165192561574 -0.144049710216381
0.4 0.005 0.5 0.02 8 0.00208833875422877 0.145382558320752 -0.143294219566523
0.4 0.005 0.6 0.02 8 0.00206798252460471 0.1440286038724 -0.141960621347796
0.4 0.005 0.7 0.02 8 0.00205393048727997 0.14215685525855 -0.14010292477127
0.4 0.005 0.8 0.02 8 0.00204556280310036 0.139846442251173 -0.137800879448073
0.4 0.005 0.9 0.02 8 0.00204210709386369 0.137201463470634 -0.13515935637677
0.4 0.005 1 0.02 8 0.00204262189748368 0.134347874731927 -0.132305252834444
0.4 0.005 0.1 0.02 9 0.0019851991994987 0.142693006305831 -0.140707807106333
0.4 0.005 0.2 0.02 9 0.00170111205915659 0.141959257982406 -0.140258145923249
0.4 0.005 0.3 0.02 9 0.00144337224338801 0.141032935984398 -0.13958956374101
0.4 0.005 0.4 0.02 9 0.00121011265767095 0.1398410550029 -0.138630942345229
0.4 0.005 0.5 0.02 9 0.00105037241973618 0.138317806629166 -0.137267434209429
0.4 0.005 0.6 0.02 9 0.000907760385842504 0.136406996471774 -0.135499236085932
0.4 0.005 0.7 0.02 9 0.000778877511319467 0.134083569107506 -0.133304691596187
0.4 0.005 0.8 0.02 9 0.000662612417049363 0.131302460927718 -0.130639848510669
0.4 0.005 0.9 0.02 9 0.000557937368189456 0.128035373721452 -0.127477436353263
0.4 0.005 1 0.02 9 0.000463901827773295 0.124278056371144 -0.12381415454337
0.4 0.005 0.1 0.02 10 0.00248093547613074 0.142278416350862 -0.139797480874731
0.4 0.005 0.2 0.02 10 0.00265765474609194 0.14113924408131 -0.138481589335218
0.4 0.005 0.3 0.02 10 0.00284038611723958 0.139958659458421 -0.137118273341182
0.4 0.005 0.4 0.02 10 0.00303255095454423 0.138810175422636 -0.135777624468092
0.4 0.005 0.5 0.02 10 0.00322520449432656 0.137769507584177 -0.134544303089851
0.4 0.005 0.6 0.02 10 0.00341733749062085 0.136908348072066 -0.133491010581445
0.4 0.005 0.7 0.02 10 0.00360772924083598 0.136292532263745 -0.132684803022909
0.4 0.005 0.8 0.02 10 0.00379491320488272 0.135980881240156 -0.132185968035274
0.4 0.005 0.9 0.02 10 0.00397930780163693 0.136024765103025 -0.132045457301388
0.4 0.005 1 0.02 10 0.00417105635335068 0.136468335421235 -0.132297279067884
0.4 0.005 0.1 0.02 11 0.0022170071649831 0.142183742351017 -0.139966735186034
0.4 0.005 0.2 0.02 11 0.00213720168404239 0.141033606718989 -0.138896405034947
0.4 0.005 0.3 0.02 11 0.00206738195998527 0.139894665961748 -0.137827284001762
0.4 0.005 0.4 0.02 11 0.00200591735763067 0.138796521905103 -0.136790604547472
0.4 0.005 0.5 0.02 11 0.00195116500486117 0.137773279035816 -0.135822114030955
0.4 0.005 0.6 0.02 11 0.00190142304071542 0.136861588781001 -0.134960165740286
0.4 0.005 0.7 0.02 11 0.00185487661261088 0.136099270212002 -0.134244393599391
0.4 0.005 0.8 0.02 11 0.00180953712943332 0.13552460658236 -0.133715069452927
0.4 0.005 0.9 0.02 11 0.00176317543367776 0.135176325799886 -0.133413150366208
0.4 0.005 1 0.02 11 0.00171582629827136 0.13509417797231 -0.133378351674039
0.4 0.005 0.1 0.02 12 0.00240586887834743 0.143625671871045 -0.141219802992698
0.4 0.005 0.2 0.02 12 0.00249795618493887 0.144001507657185 -0.141503551472246
0.4 0.005 0.3 0.02 12 0.00259666806558799 0.14452097981849 -0.141924311752902
0.4 0.005 0.4 0.02 12 0.00268588843824088 0.145258177508617 -0.142572289070376
0.4 0.005 0.5 0.02 12 0.00276498533955556 0.146289569759042 -0.143524584419486
0.4 0.005 0.6 0.02 12 0.00283330597076692 0.147696495724154 -0.144863189753387
0.4 0.005 0.7 0.02 12 0.00289018991705201 0.149566393686331 -0.146676203769279
0.4 0.005 0.8 0.02 12 0.00293498229608582 0.151967771253383 -0.149032788957297
0.4 0.005 0.9 0.02 12 0.00296704653051063 0.15497409074691 -0.152007044216399
0.4 0.005 1 0.02 12 0.00298577648072885 0.158652736932657 -0.155666960451928
0.4 0.005 0.1 0.02 13 0.00226788940949462 0.141949819515904 -0.13968193010641
0.4 0.005 0.2 0.02 13 0.00222493232348034 0.14047650395968 -0.138251571636199
0.4 0.005 0.3 0.02 13 0.0021791549249937 0.138882873571628 -0.136703718646634
0.4 0.005 0.4 0.02 13 0.00213608683695416 0.137184862307411 -0.135048775470456
0.4 0.005 0.5 0.02 13 0.00209522247926263 0.135399179974187 -0.133303957494924
0.4 0.005 0.6 0.02 13 0.00205300960858516 0.133542670586532 -0.131489660977946
0.4 0.005 0.7 0.02 13 0.00200660882824582 0.131631670742438 -0.129625061914192
0.4 0.005 0.8 0.02 13 0.00195545162440174 0.129681392974705 -0.127725941350303
0.4 0.005 0.9 0.02 13 0.00190652711235007 0.127705353631584 -0.125798826519234
0.4 0.005 1 0.02 13 0.00185660738443645 0.125714866281492 -0.123858258897055
0.4 0.005 0.1 0.02 14 0.0022850640567527 0.144304127642303 -0.14201906358555
0.4 0.005 0.2 0.02 14 0.00226114399746067 0.1451326810935 -0.142871537096039
0.4 0.005 0.3 0.02 14 0.00223607247105389 0.145762645153304 -0.14352657268225
0.4 0.005 0.4 0.02 14 0.00220923021770375 0.146136231383356 -0.143927001165652
0.4 0.005 0.5 0.02 14 0.00218001289841091 0.146201251341689 -0.144021238443278
0.4 0.005 0.6 0.02 14 0.00214784075543008 0.145907349044656 -0.143759508289226
0.4 0.005 0.7 0.02 14 0.00211216706286008 0.145207925935548 -0.143095758872688
0.4 0.005 0.8 0.02 14 0.00207248542237605 0.14406234078983 -0.141989855367454
0.4 0.005 0.9 0.02 14 0.00202833594840864 0.142438362083925 -0.140410026135516
0.4 0.005 1 0.02 14 0.00197931037524319 0.140314754762618 -0.138335444387375
0.4 0.005 0.1 0.02 15 0.00209712150912121 0.145535072690557 -0.143437951181436
0.4 0.005 0.2 0.02 15 0.00190878502010384 0.14788493952588 -0.145976154505776
0.4 0.005 0.3 0.02 15 0.00173177642184639 0.150309284132864 -0.148577507711018
0.4 0.005 0.4 0.02 15 0.00156534328265514 0.152749161091053 -0.151183817808398
0.4 0.005 0.5 0.02 15 0.00140881271880348 0.155137429487984 -0.153728616769181
0.4 0.005 0.6 0.02 15 0.00126158664926366 0.157398371091439 -0.156136784442176
0.4 0.005 0.7 0.02 15 0.00112313628879185 0.159448300112573 -0.158325163823781
0.4 0.005 0.8 0.02 15 0.000992996126660529 0.161197425047832 -0.160204428921171
0.4 0.005 0.9 0.02 15 0.000870757603005723 0.162553090478476 -0.16168233287547
0.4 0.005 1 0.02 15 0.000776623754623131 0.163430447740829 -0.162653823986206
0.4 0.005 0.1 0.02 16 0.00240093317514317 0.141205532631289 -0.138804599456146
0.4 0.005 0.2 0.02 16 0.00253178222375809 0.13908434934863 -0.136552567124872
0.4 0.005 0.3 0.02 16 0.00266962506656964 0.13696002033488 -0.13429039526831
0.4 0.005 0.4 0.02 16 0.00281747855956945 0.13484357878608 -0.132026100226511
0.4 0.005 0.5 0.02 16 0.00297870505017993 0.132762837185761 -0.129784132135581
0.4 0.005 0.6 0.02 16 0.00319450953034027 0.130794540393602 -0.127600030863262
0.4 0.005 0.7 0.02 16 0.00345421117187148 0.12897148328575 -0.125517272113879
0.4 0.005 0.8 0.02 16 0.00374007198761274 0.127347196407866 -0.123607124420253
0.4 0.005 0.9 0.02 16 0.00405719491117134 0.12603096924693 -0.121973774335759
0.4 0.005 1 0.02 16 0.00441078563924055 0.125047856116852 -0.120637070477611
