"rho0" "rho" "a" "b" "i" "CVA" "DVA" "BCVA"
0.4 0.005 0.1 0.02 1 0.00221067037724041 0.142828184649938 -0.140617514272697
0.4 0.005 0.2 0.02 1 0.00212032271304231 0.142231869571981 -0.140111546858938
0.4 0.005 0.3 0.02 1 0.00202687485626979 0.14149723598794 -0.13947036113167
0.4 0.005 0.4 0.02 1 0.00193062786577555 0.140606569411186 -0.13867594154541
0.4 0.005 0.5 0.02 1 0.00183188633736914 0.139549490937891 -0.137717604600522
0.4 0.005 0.6 0.02 1 0.00173095734905758 0.138321375253822 -0.136590417904765
0.4 0.005 0.7 0.02 1 0.00162814958653214 0.136921434894235 -0.135293285307703
0.4 0.005 0.8 0.02 1 0.00152377263557356 0.135350682741555 -0.133826910105981
0.4 0.005 0.9 0.02 1 0.00141813642143473 0.133610107157167 -0.132191970735733
0.4 0.005 1 0.02 1 0.00132828507097281 0.131699369393633 -0.13037108432266
0.4 0.005 0.1 0.02 2 0.00245959405262206 0.145756716458155 -0.143297122405533
0.4 0.005 0.2 0.02 2 0.00265624993188325 0.148037352487445 -0.145381102555561
0.4 0.005 0.3 0.02 2 0.00289835082701098 0.150159180815207 -0.147260829988196
0.4 0.005 0.4 0.02 2 0.0031852376034891 0.152154548775641 -0.148969311172152
0.4 0.005 0.5 0.02 2 0.00351958124625044 0.154081530917636 -0.150561949671386
0.4 0.005 0.6 0.02 2 0.00390442272612683 0.156021546316367 -0.15211712359024
0.4 0.005 0.7 0.02 2 0.00434316005630027 0.158084946453722 -0.153741786397422
0.4 0.005 0.8 0.02 2 0.0048395311492175 0.160438681041463 -0.155599149892245
0.4 0.005 0.9 0.02 2 0.00539759209229471 0.163163612773392 -0.157766020681097
0.4 0.005 1 0.02 2 0.00602169031656736 0.166394990857346 -0.160373300540779
0.4 0.005 0.1 0.02 3 0.00225687057281616 0.141787384248766 -0.139530513675949
0.4 0.005 0.2 0.02 3 0.00221939058756116 0.140153884915942 -0.137934494328381
0.4 0.005 0.3 0.02 3 0.00218489311128326 0.138419232148896 -0.136234339037613
0.4 0.005 0.4 0.02 3 0.00215311574852261 0.136608634995377 -0.134455519246855
0.4 0.005 0.5 0.02 3 0.00212382508728689 0.134754246749978 -0.132630421662691
0.4 0.005 0.6 0.02 3 0.00209681918628143 0.13289063093259 -0.130793811746308
0.4 0.005 0.7 0.02 3 0.00207192953111068 0.131053477326529 -0.128981547795418
0.4 0.005 0.8 0.02 3 0.0020490223023254 0.129278681006013 -0.127229658703688
0.4 0.005 0.9 0.02 3 0.00202799878456785 0.127601817088717 -0.125573818304149
0.4 0.005 1 0.02 3 0.00200879473505295 0.126057994797502 -0.12404920006245
0.4 0.005 0.1 0.02 4 0.00224876726374204 0.145101771529888 -0.142853004266146
0.4 0.005 0.2 0.02 4 0.00219062980592368 0.146852209996836 -0.144661580190912
0.4 0.005 0.3 0.02 4 0.00213406097912501 0.148556772882581 -0.146422711903456
0.4 0.005 0.4 0.02 4 0.00207889345281868 0.150216440513964 -0.148137547061145
0.4 0.005 0.5 0.02 4 0.0020247748447149 0.151839293729471 -0.149814518884756
0.4 0.005 0.6 0.02 4 0.00197116992237286 0.153440218254071 -0.151469048331698
0.4 0.005 0.7 0.02 4 0.00191736543517398 0.15504023123947 -0.153122865804296
0.4 0.005 0.8 0.02 4 0.0018624777091772 0.156690633366391 -0.154828155657214
0.4 0.005 0.9 0.02 4 0.00180546309330068 0.158414325305455 -0.156608862212154
0.4 0.005 1 0.02 4 0.00174513129050355 0.160227566208182 -0.158482434917679
0.4 0.005 0.1 0.02 5 0.00233241940451362 0.143463975815002 -0.141131556410489
0.4 0.005 0.2 0.02 5 0.00235556836676434 0.143752327275031 -0.141396758908267
0.4 0.005 0.3 0.02 5 0.00237777683689243 0.144217962488218 -0.141840185651326
0.4 0.005 0.4 0.02 5 0.00239870310093 0.144906131572778 -0.142507428471848
0.4 0.005 0.5 0.02 5 0.00241778359633003 0.145875687298743 -0.143457903702413
0.4 0.005 0.6 0.02 5 0.00243422120690737 0.147197441154511 -0.144763219947603
0.4 0.005 0.7 0.02 5 0.00244696861270776 0.148952016603188 -0.14650504799048
0.4 0.005 0.8 0.02 5 0.00245470753410929 0.151227299970418 -0.148772592436309
0.4 0.005 0.9 0.02 5 0.00245582486770764 0.154115591613396 -0.151659766745689
0.4 0.005 1 0.02 5 0.00246209544275159 0.157710542647772 -0.15524844720502
0.4 0.005 0.1 0.02 6 0.00222617860666692 0.146261778230538 -0.144035599623871
0.4 0.005 0.2 0.02 6 0.00215369624544771 0.149600794677921 -0.147447098432473
0.4 0.005 0.3 0.02 6 0.00207958543384033 0.153377027439766 -0.151297442005925
0.4 0.005 0.4 0.02 6 0.00200318424523436 0.157644014445672 -0.155640830200437
0.4 0.005 0.5 0.02 6 0.00192376369448124 0.162457473605948 -0.160533709911467
0.4 0.005 0.6 0.02 6 0.00184053407386653 0.16787088242251 -0.166030348348643
0.4 0.005 0.7 0.02 6 0.00175265184909092 0.173929541363257 -0.172176889514166
0.4 0.005 0.8 0.02 6 0.00165922716223121 0.180663337667651 -0.17900411050542
0.4 0.005 0.9 0.02 6 0.00155933199091567 0.188078650956527 -0.186519318965612
0.4 0.005 1 0.02 6 0.00145200901220144 0.196185859398992 -0.19473385038679
0.4 0.005 0.1 0.02 7 0.00202860626826436 0.14763835381373 -0.145609747545466
0.4 0.005 0.2 0.02 7 0.00178125832772668 0.152223206842477 -0.15044194851475
