"rho0" "rho" "a" "b" "i" "CVA" "DVA" "BCVA"
0.9 0.005 0.6 0.02 8 0.025863170104299 0.00222757539746257 0.0236355947068365
0.9 0.005 0.7 0.02 8 0.0248403354032643 0.00231565258041017 0.0225246828228541
0.9 0.005 0.8 0.02 8 0.0240123655830206 0.00241358949154705 0.0215987760914736
0.9 0.005 0.1 0.02 9 0.0341167491778268 0.00165882660870772 0.0324579225691191
0.9 0.005 0.2 0.02 9 0.0321478340203401 0.00163461094325431 0.0305132230770858
0.9 0.005 0.3 0.02 9 0.0302075065800053 0.00160787012955348 0.0285996364504518
0.9 0.005 0.4 0.02 9 0.0282918469277646 0.00157837661154111 0.0267134703162235
0.9 0.005 0.5 0.02 9 0.0264012099603326 0.00154416673442987 0.0248570432259028
0.9 0.005 0.6 0.02 9 0.0245399127309065 0.0015063015884653 0.0230336111424412
0.9 0.005 0.7 0.02 9 0.0227282250598561 0.00146412009773126 0.0212641049621249
0.9 0.005 0.8 0.02 9 0.0209656078592834 0.00141761111977453 0.0195479967395089
0.9 0.005 0.1 0.02 10 0.0369804510556521 0.00161447227307925 0.0353659787825728
0.9 0.005 0.2 0.02 10 0.03780974310712 0.00154948395353416 0.0362602591535858
0.9 0.005 0.3 0.02 10 0.0386176822758758 0.00148163956029053 0.0371360427155853
0.9 0.005 0.4 0.02 10 0.0394105707652519 0.00141710183668163 0.0379934689285702
0.9 0.005 0.5 0.02 10 0.0401998017857673 0.00135292589557871 0.0388468758901886
0.9 0.005 0.6 0.02 10 0.0409978659096867 0.00129058805488209 0.0397072778548046
0.9 0.005 0.7 0.02 10 0.0418180715570254 0.0012318963815876 0.0405861751754378
0.9 0.005 0.8 0.02 10 0.0426743004461957 0.00117830507466881 0.0414959953715269
0.9 0.005 0.1 0.02 11 0.0366987798181139 0.00166233671981164 0.0350364430983022
0.9 0.005 0.2 0.02 11 0.037338808021012 0.00164110765733496 0.035697700363677
0.9 0.005 0.3 0.02 11 0.0380322968629998 0.00161878501061699 0.0364135118523829
0.9 0.005 0.4 0.02 11 0.0387712230636041 0.00159651742869907 0.037174705634905
0.9 0.005 0.5 0.02 11 0.0395563089390111 0.00157542052733273 0.0379808884116784
0.9 0.005 0.6 0.02 11 0.0403933455074666 0.00155652111384087 0.0388368243936257
0.9 0.005 0.7 0.02 11 0.0412929458152984 0.00154071906224357 0.0397522267530548
0.9 0.005 0.8 0.02 11 0.0422700881021806 0.00152877104924247 0.0407413170529382
0.9 0.005 0.1 0.02 12 0.0372552062776061 0.0016776788822567 0.0355775273953494
0.9 0.005 0.2 0.02 12 0.0383521423951787 0.00167311469949431 0.0366790276956844
0.9 0.005 0.3 0.02 12 0.0394222093161232 0.00167297314380569 0.0377492361723175
0.9 0.005 0.4 0.02 12 0.0404788489639365 0.00167664524933617 0.0388022037146004
0.9 0.005 0.5 0.02 12 0.0415379787402626 0.00168498498635405 0.0398529937539085
0.9 0.005 0.6 0.02 12 0.0426170599487403 0.00169971580132691 0.0409173441474134
0.9 0.005 0.7 0.02 12 0.0437339788015116 0.00172268534654316 0.0420112934549684
0.9 0.005 0.8 0.02 12 0.0449057666632709 0.00175583622802746 0.0431499304352434
