"rho0" "rho" "a" "b" "i" "CVA" "DVA" "BCVA"
0.9 0.005 0.1 0.02 1 0.0356127974938607 0.00164988892578389 0.0339629085680768
0.9 0.005 0.2 0.02 1 0.0350711156419063 0.00161215137869802 0.0334589642632083
0.9 0.005 0.3 0.02 1 0.0344881128703678 0.00156878514133258 0.0329193277290352
0.9 0.005 0.4 0.02 1 0.033860393374691 0.0015207129412235 0.0323396804334675
0.9 0.005 0.5 0.02 1 0.0331835991064061 0.00146903974915417 0.0317145593572519
0.9 0.005 0.6 0.02 1 0.0324563491698075 0.00141495434792331 0.0310413948218842
0.9 0.005 0.7 0.02 1 0.0316809389416458 0.00135970264320984 0.030321236298436
0.9 0.005 0.8 0.02 1 0.0308613102329797 0.00130916054991276 0.029552149683067
0.9 0.005 0.1 0.02 2 0.0359417550330162 0.00178542384440818 0.034156331188608
0.9 0.005 0.2 0.02 2 0.0360168375720209 0.00188246932918403 0.0341343682428368
0.9 0.005 0.3 0.02 2 0.0363526565785169 0.00197151550007825 0.0343811410784387
0.9 0.005 0.4 0.02 2 0.0369785165405967 0.0020525748923969 0.0349259416481998
0.9 0.005 0.5 0.02 2 0.0379070638375844 0.00213315557123886 0.0357739082663455
0.9 0.005 0.6 0.02 2 0.0391762011102547 0.00221462064036064 0.0369615804698941
0.9 0.005 0.7 0.02 2 0.040817346350375 0.00228218354526393 0.0385351628051111
0.9 0.005 0.8 0.02 2 0.0428448619542787 0.00235429562329612 0.0404905663309826
0.9 0.005 0.1 0.02 3 0.0357113594026988 0.00160031349064767 0.0341110459120511
0.9 0.005 0.2 0.02 3 0.0352755130168638 0.00152281681342827 0.0337526962034355
0.9 0.005 0.3 0.02 3 0.0348055249185882 0.00144847245893512 0.0333570524596531
0.9 0.005 0.4 0.02 3 0.034301435103814 0.00137194776561275 0.0329294873382013
0.9 0.005 0.5 0.02 3 0.0337687957359452 0.00129391023621742 0.0324748854997278
0.9 0.005 0.6 0.02 3 0.0332176213219978 0.00121644097165254 0.0320011803503452
0.9 0.005 0.7 0.02 3 0.0326589019095285 0.00114142279557949 0.031517479113949
0.9 0.005 0.8 0.02 3 0.03209813494144 0.00107249299154551 0.0310256419498945
0.9 0.005 0.1 0.02 4 0.0362109566085621 0.00175032784435017 0.034460628764212
0.9 0.005 0.2 0.02 4 0.0363568490172927 0.00181707762403362 0.0345397713932591
0.9 0.005 0.3 0.02 4 0.0365539605302081 0.00187761721172966 0.0346763433184784
0.9 0.005 0.4 0.02 4 0.0367969800404004 0.00193993123299959 0.0348570488074008
0.9 0.005 0.5 0.02 4 0.0370803545760904 0.00200818509733826 0.0350721694787521
0.9 0.005 0.6 0.02 4 0.0373984031075005 0.00207847028294725 0.0353199328245533
0.9 0.005 0.7 0.02 4 0.0377453529937578 0.00215426722454128 0.0355910857692165
0.9 0.005 0.8 0.02 4 0.0381169251118973 0.00222983346633866 0.0358870916455586
0.9 0.005 0.1 0.02 5 0.0362980231166926 0.00171420800558364 0.034583815111109
0.9 0.005 0.2 0.02 5 0.0366200586587663 0.00175043201134821 0.0348696266474181
0.9 0.005 0.3 0.02 5 0.0370950542449135 0.00178483039976615 0.0353102238451473
0.9 0.005 0.4 0.02 5 0.0377320968974997 0.00181650319080211 0.0359155937066976
0.9 0.005 0.5 0.02 5 0.0385453157943361 0.00184555254106403 0.0366997632532721
0.9 0.005 0.6 0.02 5 0.0395413115758341 0.00187617755517394 0.0376651340206601
0.9 0.005 0.7 0.02 5 0.0407286624257222 0.00191175657089567 0.0388169058548266
0.9 0.005 0.8 0.02 5 0.0421144250069633 0.00195191270964785 0.0401625122973154
0.9 0.005 0.1 0.02 6 0.0352045543515015 0.0016757899546546 0.0335287643968469
0.9 0.005 0.2 0.02 6 0.0343783068639816 0.00167068304501742 0.0327076238189642
0.9 0.005 0.3 0.02 6 0.0336388234200667 0.00166740199725698 0.0319714214228098
0.9 0.005 0.4 0.02 6 0.0329752097180323 0.00166763727725059 0.0313075724407817
0.9 0.005 0.5 0.02 6 0.0323767793925248 0.0016733642357664 0.0307034151567584
0.9 0.005 0.6 0.02 6 0.0318305244223135 0.00168678524624282 0.0301437391760707
0.9 0.005 0.7 0.02 6 0.0313298477966673 0.00171025099949226 0.029619596797175
0.9 0.005 0.8 0.02 6 0.0308531770425134 0.00174615577745189 0.0291070212650615
0.9 0.005 0.1 0.02 7 0.0358389876869746 0.00175654601502373 0.0340824416719509
0.9 0.005 0.2 0.02 7 0.0356077649308715 0.00184030818011946 0.033767456750752
0.9 0.005 0.3 0.02 7 0.0354136120958303 0.00192481152955829 0.033488800566272
0.9 0.005 0.4 0.02 7 0.0352479339207339 0.00200853783404231 0.0332393960866916
0.9 0.005 0.5 0.02 7 0.0351134378891937 0.00209696647611906 0.0330164714130746
0.9 0.005 0.6 0.02 7 0.0350059787835744 0.00220616534703449 0.03279981343654
0.9 0.005 0.7 0.02 7 0.0349125793177557 0.00231286722818364 0.0325997120895721
0.9 0.005 0.8 0.02 7 0.034809149438715 0.00241492791420296 0.032394221524512
0.9 0.005 0.1 0.02 8 0.0339258714640696 0.00178102221471125 0.0321448492493584
0.9 0.005 0.2 0.02 8 0.0319185305138914 0.00187427233416814 0.0300442581797232
0.9 0.005 0.3 0.02 8 0.0301012465407686 0.00195881107418059 0.028142435466588
0.9 0.005 0.4 0.02 8 0.0284848215653812 0.00204609479455766 0.0264387267708235
0.9 0.005 0.5 0.02 8 0.0270706845383624 0.00214228235776737 0.0249284021805951
